"name","value","time","nodes"
"ta001",1278,0.031,0
"ta002",1359,0.311,6443
"ta003",1081,0.478,9092
"ta004",1293,0.548,8684
"ta005",1235,0.171,2463
"ta006",1195,0.139,2397
"ta007",1234,0.119,1392
"ta008",1206,0.033,18
"ta009",1230,0.128,1740
"ta010",1108,0.049,308
"ta011",1582,157.186,378387
"ta012",1659,729.628,1722851
"ta013",1496,475.148,1234055
"ta014",1377,42.437,98569
"ta015",1419,120.609,302886
"ta016",1397,428.088,1021167
"ta017",1484,3597.52,9512596
"ta018",1538,635.836,1374952
"ta019",1593,1.206,2872
"ta020",1591,663.669,1484776
"ta021",2316,3597.16,1428269
"ta022",2127,3597.5,1574830
"ta023",2368,3597.36,1833453
"ta024",2235,3597.41,1918669
"ta025",2320,3597.47,1348304
"ta026",2253,3597.53,1572603
"ta027",2300,3597.36,1461828
"ta028",2202,3597.37,1952143
"ta029",2282,3597.52,1484611
"ta030",2200,3597.62,1436063
"ta031",2724,0.617,4
"ta032",2834,2.587,11315
"ta033",2621,3.373,9356
"ta034",2751,5.875,43507
"ta035",2863,3.439,22071
"ta036",2829,1.899,7921
"ta037",2725,3.068,16631
"ta038",2683,0.631,0
"ta039",2552,9.088,44072
"ta040",2782,0.622,1
"ta041",3007,3597.51,3175884
"ta042",2946,3597.18,1666462
"ta043",2877,3597.17,4283734
"ta044",3063,882.135,1020755
"ta045",3015,3597.29,3385634
"ta046",3006,1848.8,2006560
"ta047",3156,3597.19,1656783
"ta048",3049,3597.4,4273347
"ta049",2897,480.059,551339
"ta050",3139,3597.28,2618181
"ta051",3938,3597.2,187844
"ta052",3816,3597.35,167750
"ta053",3763,3598.17,161594
"ta054",3842,3597.27,211062
"ta055",3731,3597.49,158539
"ta056",3782,3597.72,274351
"ta057",3808,3597.47,303496
"ta058",3824,3597.47,192323
"ta059",3842,3597.49,207077
"ta060",3876,3599.57,195136
"ta061",5493,5.48,0
"ta062",5268,59.814,70082
"ta063",5175,6.796,7
"ta064",5014,21.274,29898
"ta065",5250,6.126,15
"ta066",5135,5.142,20
"ta067",5246,126.201,100444
"ta068",5094,28.994,23445
"ta069",5448,6.474,0
"ta070",5322,24.839,25331
"ta071",5770,1678.16,825054
"ta072",5349,1528.12,702688
"ta073",5676,1990.33,965772
"ta074",5803,3597.09,1883343
"ta075",5482,3596.94,1977732
"ta076",5303,1011.1,506155
"ta077",5595,2938.9,1146092
"ta078",5630,3597.3,1577744
"ta079",5897,3597.23,1504577
"ta080",5852,3597.07,1780330
"ta081",6429,3597.45,30009
"ta082",6354,3598.75,52701
"ta083",6460,3599.61,36300
"ta084",6449,3597.6,43059
"ta085",6509,3598.02,29680
"ta086",6535,3597.55,31158
"ta087",6458,3599.77,40760
"ta088",6604,3599.64,34045
"ta089",6453,3599.75,38697
"ta090",6589,3599.84,31162
"ta091",10899,3597.38,177867
"ta092",10549,3597.16,312422
"ta093",11007,3597.58,203313
"ta094",10911,3597.19,171405
"ta095",10538,3597.5,185331
"ta096",10347,3597.59,109131
"ta097",10894,3597.41,167269
"ta098",10785,3597.36,180758
"ta099",10464,3597.4,237211
"ta100",10727,3597.35,287226
